epoch, train_acc, val_acc
0, 19.80, 37.50
1, 52.20, 53.50
2, 64.00, 59.00
3, 71.80, 62.50
4, 74.10, 62.50
5, 76.80, 66.00
6, 81.40, 66.50
7, 81.80, 70.00
8, 82.20, 69.50
9, 84.40, 68.50
10, 84.60, 71.50
11, 86.30, 67.50
12, 88.10, 70.00
13, 87.40, 70.50
14, 89.50, 71.50
15, 89.40, 72.00
16, 91.30, 70.00
17, 89.60, 71.50
18, 90.60, 74.50
19, 91.20, 73.50
20, 92.10, 74.50
21, 93.40, 75.50
22, 92.90, 74.00
23, 92.40, 70.00
24, 91.10, 75.50
25, 93.70, 70.50
26, 92.50, 74.50
27, 94.50, 76.00
28, 92.30, 74.50
29, 94.70, 75.00
30, 94.70, 75.50
31, 93.50, 80.00
32, 94.60, 77.00
33, 95.10, 76.00
34, 94.40, 76.50
35, 96.00, 76.50
36, 95.70, 75.50
37, 95.80, 75.50
38, 96.40, 76.00
39, 95.10, 75.50
40, 95.80, 74.00
41, 96.70, 77.50
42, 95.30, 77.00
43, 96.80, 76.00
44, 96.30, 77.50
45, 97.80, 75.50
46, 96.60, 76.00
47, 96.80, 75.00
48, 96.40, 76.50
49, 96.10, 77.50
50, 96.40, 74.00
51, 98.10, 74.50
52, 97.00, 78.00
53, 96.60, 76.00
54, 97.30, 78.50
55, 97.20, 75.00
56, 97.30, 76.50
57, 97.40, 78.00
58, 97.90, 77.50
59, 97.50, 78.50
60, 97.70, 77.50
61, 98.80, 76.00
62, 98.10, 76.00
63, 98.50, 75.00
64, 98.20, 77.50
65, 97.40, 77.00
66, 98.60, 76.50
67, 97.20, 79.00
68, 97.90, 78.00
69, 97.10, 76.00
70, 98.30, 78.00
71, 98.00, 75.50
72, 98.20, 76.00
73, 97.50, 77.00
74, 96.90, 73.50
75, 97.40, 77.00
76, 97.80, 75.00
77, 97.50, 79.00
78, 98.10, 78.50
79, 97.80, 78.00
80, 98.30, 78.00
81, 97.40, 76.50
82, 97.80, 78.50
83, 98.00, 76.50
84, 98.30, 77.00
85, 98.80, 77.00
86, 99.00, 80.00
87, 97.40, 76.50
88, 96.80, 78.00
89, 98.70, 76.50
90, 98.60, 78.00
91, 98.50, 76.00
92, 98.40, 78.50
93, 98.70, 79.50
94, 98.60, 77.00
95, 98.40, 76.50
96, 98.00, 78.50
97, 98.60, 76.50
98, 98.80, 76.50
99, 97.60, 80.00
100, 98.10, 77.50
101, 98.50, 77.00
102, 98.30, 78.00
103, 99.00, 77.50
104, 97.60, 75.50
105, 98.50, 76.50
106, 98.30, 78.00
107, 98.70, 77.00
108, 99.30, 79.50
109, 98.50, 78.50
110, 99.00, 78.00
111, 98.50, 76.00
112, 98.70, 75.50
113, 98.20, 75.00
114, 98.60, 76.00
115, 99.30, 78.50
116, 99.10, 78.00
117, 98.30, 78.00
118, 99.10, 80.00
119, 99.10, 77.00
120, 98.70, 78.00
121, 98.50, 74.00
122, 97.90, 76.50
123, 98.60, 77.50
124, 97.90, 76.50
125, 98.80, 77.00
126, 99.60, 78.00
127, 99.40, 76.50
128, 98.70, 80.00
129, 99.40, 79.50
130, 99.00, 74.50
131, 98.20, 78.00
132, 99.20, 79.50
133, 98.60, 80.00
134, 99.30, 79.00
135, 99.30, 75.50
136, 98.70, 79.50
137, 98.90, 76.50
138, 99.00, 78.00
139, 98.70, 78.50
140, 99.30, 81.00
141, 99.00, 77.00
142, 98.80, 79.00
143, 98.80, 77.00
144, 99.40, 79.50
145, 98.50, 78.50
146, 98.70, 78.50
147, 99.70, 79.50
148, 99.00, 77.00
149, 99.10, 79.00
150, 98.80, 80.50
151, 98.60, 78.00
152, 99.30, 78.50
153, 99.00, 77.00
154, 99.20, 77.00
155, 98.60, 78.50
156, 98.40, 80.00
157, 99.50, 79.50
158, 99.30, 79.00
159, 99.00, 76.50
160, 99.90, 79.00
161, 99.30, 78.50
162, 99.50, 79.50
163, 99.00, 77.00
164, 99.40, 77.00
165, 98.50, 79.00
166, 99.10, 80.50
167, 99.20, 76.50
168, 99.10, 80.00
169, 99.10, 78.00
170, 99.00, 78.50
171, 98.50, 78.00
172, 99.10, 77.50
173, 99.10, 78.50
174, 99.40, 77.50
175, 99.50, 77.00
176, 99.30, 77.00
177, 99.40, 77.00
178, 99.10, 77.00
179, 99.50, 77.50
180, 99.70, 80.00
181, 99.20, 78.50
182, 99.50, 76.00
183, 99.50, 79.50
184, 99.40, 77.00
185, 98.70, 79.00
186, 99.20, 78.00
187, 99.00, 78.00
188, 98.80, 77.00
189, 99.50, 80.00
190, 99.10, 76.00
191, 99.30, 80.00
192, 99.20, 78.00
193, 99.70, 79.00
194, 99.60, 79.00
195, 99.80, 79.50
196, 99.40, 77.00
197, 99.30, 77.50
198, 99.40, 78.00
199, 99.60, 77.00
