epoch, train_acc, val_acc, reconstruction_loss
0, 2.60, 5.50, 30.004081632652984
1, 5.60, 7.00, 27.518877551020367
2, 7.20, 8.50, 27.437755102040782
3, 8.20, 10.50, 27.44489795918365
4, 10.20, 8.00, 26.99336734693876
5, 11.00, 11.00, 27.269387755102038
6, 12.10, 12.00, 27.074489795918332
7, 12.80, 13.00, 27.067346938775465
8, 13.50, 16.00, 26.68010204081629
9, 13.40, 14.50, 26.904081632653025
10, 14.20, 17.50, 26.859693877551006
11, 15.40, 18.50, 26.786224489795895
12, 15.10, 17.50, 26.741326530612223
13, 17.30, 21.00, 26.66938775510202
14, 16.40, 16.00, 26.554591836734676
15, 17.60, 18.00, 26.67959183673463
16, 18.20, 20.50, 26.78673469387754
17, 17.80, 14.50, 26.502551020408138
18, 18.60, 19.50, 26.736734693877523
19, 20.40, 23.00, 26.65816326530608
20, 19.70, 23.00, 26.402040816326505
21, 20.10, 19.50, 26.641326530612236
22, 20.90, 22.50, 26.334693877551008
23, 18.70, 17.50, 26.58061224489793
24, 20.50, 20.50, 26.52448979591834
25, 19.70, 18.50, 26.32755102040815
26, 20.50, 19.50, 26.63112244897956
27, 19.90, 27.00, 26.418367346938744
28, 21.70, 22.50, 26.345408163265287
29, 21.20, 19.50, 26.426530612244875
30, 20.70, 19.00, 26.285714285714263
31, 21.30, 22.00, 26.36326530612243
32, 20.50, 24.00, 26.274999999999988
33, 21.80, 26.00, 26.359693877551
34, 22.50, 23.00, 26.315306122448984
35, 23.40, 25.50, 26.27244897959181
36, 21.60, 19.00, 26.359183673469357
37, 22.60, 18.50, 26.317346938775476
38, 21.00, 20.50, 26.47244897959181
39, 21.40, 21.50, 26.334693877551
40, 22.80, 26.00, 26.319897959183653
41, 22.60, 18.00, 26.269387755102013
42, 21.30, 18.00, 26.415306122448957
43, 22.50, 19.50, 26.20561224489793
44, 22.20, 19.50, 26.226530612244886
45, 22.40, 21.00, 26.262244897959153
46, 23.30, 21.00, 26.27806122448978
47, 22.90, 21.00, 26.32551020408161
48, 23.80, 23.00, 26.434183673469374
49, 22.80, 15.00, 26.201530612244895
